row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url
1,69,Ryu Murakami,1987,69,2004,2000_2004,Drama_Literary,medium,"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami",69 (2004),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
2,A Good Year,Peter Mayle,2004,A Good Year,2006,2005_2009,Drama_Literary,medium,"A Good Year (2004), Peter Mayle",A Good Year (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
3,A Princess of Mars,Edgar Rice Burroughs,1917,John Carter,2012,2010_2014,Drama_Literary,medium,"A Princess of Mars (1917), Edgar Rice Burroughs",John Carter (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
4,A Watcher in the Woods,Florence Engel Randall,1976,The Watcher in the Woods,2017,2015_2019,Drama_Literary,medium,"A Watcher in the Woods (1976), Florence Engel Randall",The Watcher in the Woods (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
5,All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,2022,2020_2024,Drama_Literary,medium,"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque",All Quiet on the Western Front (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
6,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Black Knight,2001,2000_2004,Drama_Literary,medium,"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",Black Knight (2001),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
7,A Stir of Echoes,Richard Matheson,1958,Stir of Echoes: The Homecoming,2007,2005_2009,Drama_Literary,medium,"A Stir of Echoes (1958), Richard Matheson",Stir of Echoes: The Homecoming (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
8,A Very Private Gentleman,Martin Booth,1990,The American,2010,2010_2014,Drama_Literary,medium,"A Very Private Gentleman (1990), Martin Booth",The American (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
9,A Wrinkle in Time,Madeleine L'Engle,1962,A Wrinkle in Time,2018,2015_2019,Drama_Literary,medium,"A Wrinkle in Time (1962), Madeleine L'Engle",A Wrinkle in Time (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
10,Anime Supremacy!,Mizuki Tsujimura,2014,Anime Supremacy!,2022,2020_2024,Drama_Literary,medium,"Anime Supremacy! (ハケンアニメ!, Haken Anime!) (2014), Mizuki Tsujimura",Anime Supremacy! (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
11,A Mother's Gift,Britney Spears and Lynne Spears,2001,Brave New Girl,2004,2000_2004,Drama_Literary,medium,"A Mother's Gift (2001), Britney Spears and Lynne Spears",Brave New Girl (2004),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
12,Adam Resurrected,Yoram Kaniuk,1969,Adam Resurrected,2009,2005_2009,Drama_Literary,medium,"Adam Resurrected (Hebrew: אדם בן כלב) (1969), Yoram Kaniuk",Adam Resurrected (2009),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
13,Airborn,Kenneth Oppel,2004,Airborn,2012,2010_2014,Drama_Literary,medium,"Airborn (2004), Kenneth Oppel",Airborn (2012),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
14,Annihilation,Jeff VanderMeer,2014,Annihilation,2018,2015_2019,Drama_Literary,medium,"Annihilation (2014), Jeff VanderMeer",Annihilation (2018),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
15,Atomised,Michel Houellebecq,1998,The Elementary Particles,2021,2020_2024,Drama_Literary,medium,"Atomised (French: Les Particules élémentaires) (1998), Michel Houellebecq",The Elementary Particles (2021),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
16,A Widow for One Year,John Irving,1998,The Door in the Floor,2004,2000_2004,Drama_Literary,medium,"A Widow for One Year (1998), John Irving",The Door in the Floor (2004),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
17,All the Way,Andy Behrens,2001,Sex Drive,2008,2005_2009,Drama_Literary,medium,"All the Way (2001), Andy Behrens",Sex Drive (2008),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
18,All You Need Is Kill,Hiroshi Sakurazaka,2009,Edge of Tomorrow,2014,2010_2014,Drama_Literary,medium,"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
19,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,2016,2015_2019,Drama_Literary,medium,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben-Hur (2016),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
20,Berlin Alexanderplatz,Alfred Döblin,1929,Berlin Alexanderplatz,2020,2020_2024,Drama_Literary,medium,"Berlin Alexanderplatz (1929), Alfred Döblin",Berlin Alexanderplatz (2020),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
21,"Crouching Tiger, Hidden Dragon",Wang Dulu,1942,"Crouching Tiger, Hidden Dragon",2000,2000_2004,Fantasy_SciFi,medium,"Crouching Tiger, Hidden Dragon (Chinese: 卧虎藏龙, Wòhǔ Cánglóng) (1942), Wang Dulu","Crouching Tiger, Hidden Dragon (2000)","https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
22,A Scanner Darkly,Philip K. Dick,1977,A Scanner Darkly,2006,2005_2009,Fantasy_SciFi,medium,"A Scanner Darkly (1977), Philip K. Dick",A Scanner Darkly (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
23,Beautiful Creatures,Kami Garcia and Margaret Stohl,2009,Beautiful Creatures,2013,2010_2014,Fantasy_SciFi,medium,"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",Beautiful Creatures (2013),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
24,Do Androids Dream of Electric Sheep?,Philip K. Dick,1967,Blade Runner 2049,2017,2015_2019,Fantasy_SciFi,medium,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner 2049 (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
25,Dune,Frank Herbert,1965,Dune: Part Two,2024,2020_2024,Fantasy_SciFi,medium,"Dune (1965), Frank Herbert",Dune: Part Two (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
26,The Lord of the Rings,J. R. R. Tolkien,1954,The Lord of the Rings: The Return of the King,2003,2000_2004,Fantasy_SciFi,medium,"The Lord of the Rings (1954–1955), J. R. R. Tolkien",The Lord of the Rings: The Return of the King (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
27,Dragons of Autumn Twilight,Margaret Weis and Tracy Hickman,1984,Dragonlance: Dragons of Autumn Twilight,2008,2005_2009,Fantasy_SciFi,medium,"Dragons of Autumn Twilight (1984), Margaret Weis and Tracy Hickman",Dragonlance: Dragons of Autumn Twilight (2008),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
28,Radio Free Albemuth,Philip K. Dick,1976,Radio Free Albemuth,2011,2010_2014,Fantasy_SciFi,medium,"Radio Free Albemuth (1976), Philip K. Dick",Radio Free Albemuth (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
29,Fahrenheit 451,Ray Bradbury,1953,Fahrenheit 451,2018,2015_2019,Fantasy_SciFi,medium,"Fahrenheit 451 (1953), Ray Bradbury",Fahrenheit 451 (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
30,Jurassic Park,Michael Crichton,1990,Jurassic World Dominion,2022,2020_2024,Fantasy_SciFi,medium,"Jurassic Park (1990), Michael Crichton",Jurassic World Dominion (2022),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
31,Timeline,Michael Crichton,1999,Timeline,2003,2000_2004,Fantasy_SciFi,medium,"Timeline (1999), Michael Crichton",Timeline (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
32,Eragon,Christopher Paolini,2003,Eragon,2006,2005_2009,Fantasy_SciFi,medium,"Eragon (2003), Christopher Paolini",Eragon (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
33,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966,Time Traveller: The Girl Who Leapt Through Time,2010,2010_2014,Fantasy_SciFi,medium,"The Girl Who Leapt Through Time (時をかける少女, Toki o Kakeru Shōjo) (serialised 1966–1967, published as a book 1967), Yasutaka Tsutsui",Time Traveller: The Girl Who Leapt Through Time (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
34,Ready Player One,Ernest Cline,2011,Ready Player One,2018,2015_2019,Fantasy_SciFi,medium,"Ready Player One (2011), Ernest Cline",Ready Player One (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
35,Planet of the Apes,Pierre Boulle,1963,Kingdom of the Planet of the Apes,2024,2020_2024,Fantasy_SciFi,medium,"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Kingdom of the Planet of the Apes (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
36,Waltz into Darkness,Cornell Woolrich,1947,Original Sin,2001,2000_2004,Fantasy_SciFi,medium,"Waltz into Darkness (1947), Cornell Woolrich",Original Sin (2001),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
37,Northern Lights,Philip Pullman,1995,The Golden Compass,2007,2005_2009,Fantasy_SciFi,medium,"Northern Lights (1995), Philip Pullman",The Golden Compass (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
38,The Hobbit,J. R. R. Tolkien,1937,The Hobbit: The Battle of the Five Armies,2014,2010_2014,Fantasy_SciFi,medium,"The Hobbit (1937), J. R. R. Tolkien",The Hobbit: The Battle of the Five Armies (2014),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
39,The Wonderful Wizard of Oz,L. Frank Baum,1900,The Steam Engines of Oz,2018,2015_2019,Fantasy_SciFi,medium,"The Wonderful Wizard of Oz (1900), L. Frank Baum",The Steam Engines of Oz (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
40,Spaceman of Bohemia,Jaroslav Kalfař,2017,Spaceman,2024,2020_2024,Fantasy_SciFi,medium,"Spaceman of Bohemia (2017), Jaroslav Kalfař",Spaceman (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
41,A Walk to Remember,Nicholas Sparks,1999,A Walk to Remember,2002,2000_2004,Romance,medium,"A Walk to Remember (1999), Nicholas Sparks",A Walk to Remember (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
42,Nights in Rodanthe,Nicholas Sparks,2002,Nights in Rodanthe,2008,2005_2009,Romance,medium,"Nights in Rodanthe (2002), Nicholas Sparks",Nights in Rodanthe (2008),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
43,Dear John,Nicholas Sparks,2006,Dear John,2010,2010_2014,Romance,medium,"Dear John (2006), Nicholas Sparks",Dear John (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
44,After,Anna Todd,2014,After,2019,2015_2019,Romance,medium,"After (2014), Anna Todd",After (2019),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
45,After Ever Happy,Anna Todd,2015,After Ever Happy,2022,2020_2024,Romance,medium,"After Ever Happy (2015), Anna Todd",After Ever Happy (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
46,Possession: A Romance,A. S. Byatt,1990,Possession,2002,2000_2004,Romance,medium,"Possession: A Romance (1990), A. S. Byatt",Possession (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
47,The Nanny Diaries,Emma McLaughlin and Nicola Kraus,2002,The Nanny Diaries,2007,2005_2009,Romance,medium,"The Nanny Diaries (2002), Emma McLaughlin and Nicola Kraus",The Nanny Diaries (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
48,The Last Song,Nicholas Sparks,2009,The Last Song,2010,2010_2014,Romance,medium,"The Last Song (2009), Nicholas Sparks",The Last Song (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
49,After Everything,Anna Todd,2015,After Everything,2023,2020_2024,Romance,medium,"After Everything (2015), Anna Todd",After Everything (2023),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
50,The Notebook,Nicholas Sparks,1996,The Notebook,2004,2000_2004,Romance,medium,"The Notebook (1996), Nicholas Sparks",The Notebook (2004),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
51,A Painted House,John Grisham,2001,A Painted House,2003,2000_2004,Thriller_Mystery_Crime,medium,"A Painted House (2001), John Grisham",A Painted House (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
52,Angels & Demons,Dan Brown,2000,Angels & Demons,2009,2005_2009,Thriller_Mystery_Crime,medium,"Angels & Demons (2000), Dan Brown",Angels & Demons (2009),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
53,One Shot,Lee Child,2004,Jack Reacher,2012,2010_2014,Thriller_Mystery_Crime,medium,"One Shot (2004), Lee Child",Jack Reacher (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
54,3 Assassins,Kōtarō Isaka,2004,Grasshopper,2015,2015_2019,Thriller_Mystery_Crime,medium,"3 Assassins (グラスホッパー, Gurasuhoppā) (2004), Kōtarō Isaka",Grasshopper (2015),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
55,Death on the Nile,Agatha Christie,1937,Death on the Nile,2022,2020_2024,Thriller_Mystery_Crime,medium,"Death on the Nile (1937), Agatha Christie",Death on the Nile (2022),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
56,Along Came a Spider,James Patterson,1993,Along Came a Spider,2001,2000_2004,Thriller_Mystery_Crime,medium,"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
57,Detective,Arthur Hailey,1997,Detective,2005,2005_2009,Thriller_Mystery_Crime,medium,"Detective (1997), Arthur Hailey",Detective (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
58,The Feather Men,Sir Ranulph Fiennes,1991,Killer Elite,2011,2010_2014,Thriller_Mystery_Crime,medium,"The Feather Men (1991), Sir Ranulph Fiennes",Killer Elite (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
59,Heidi,Johanna Spyri,1880,Heidi,2015,2015_2019,Thriller_Mystery_Crime,medium,"Heidi (1880–81), Johanna Spyri",Heidi (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
60,And Then There Were None,Agatha Christie,1939,Identity,2003,2000_2004,Thriller_Mystery_Crime,medium,"And Then There Were None (1939), Agatha Christie",Identity (2003),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
61,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,1983,The Assassination of Jesse James by the Coward Robert Ford,2007,2005_2009,Thriller_Mystery_Crime,medium,"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
62,The Killer Inside Me,Jim Thompson,1952,The Killer Inside Me,2010,2010_2014,Thriller_Mystery_Crime,medium,"The Killer Inside Me (1952), Jim Thompson",The Killer Inside Me (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
63,Murder on the Orient Express,Agatha Christie,1934,Murder on the Orient Express,2017,2015_2019,Thriller_Mystery_Crime,medium,"Murder on the Orient Express (1934), Agatha Christie",Murder on the Orient Express (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
64,Antikiller,Daniil Koretsky,1999,Antikiller,2002,2000_2004,Thriller_Mystery_Crime,medium,"Antikiller (French: Антикиллер) (1999), Daniil Koretsky",Antikiller (2002),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
65,The Constant Gardener,John le Carré,2001,The Constant Gardener,2005,2005_2009,Thriller_Mystery_Crime,medium,"The Constant Gardener (2001), John le Carré",The Constant Gardener (2005),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
66,The Lincoln Lawyer,Michael Connelly,2005,The Lincoln Lawyer,2011,2010_2014,Thriller_Mystery_Crime,medium,"The Lincoln Lawyer (2005), Michael Connelly",The Lincoln Lawyer (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
